,date_dt,city_code,district_code,dwell,flow_in,flow_out
138,2017-05-23,0ae011769ad316b0bb0aec3297f89b81,09bcf688a9278cccb0804a112724cebd,1.0759999999999998,55.532,55.66400000000001
206,2017-05-24,0ae011769ad316b0bb0aec3297f89b81,09bcf688a9278cccb0804a112724cebd,0.8840000000000001,48.343999999999994,48.24
504,2017-05-25,0ae011769ad316b0bb0aec3297f89b81,09bcf688a9278cccb0804a112724cebd,0.8800000000000001,50.11600000000002,50.0
685,2017-05-26,0ae011769ad316b0bb0aec3297f89b81,09bcf688a9278cccb0804a112724cebd,1.064,51.856,51.46000000000001
819,2017-05-27,0ae011769ad316b0bb0aec3297f89b81,09bcf688a9278cccb0804a112724cebd,1.2159999999999995,61.92400000000003,61.356000000000016
1039,2017-05-28,0ae011769ad316b0bb0aec3297f89b81,09bcf688a9278cccb0804a112724cebd,1.2680000000000002,61.05199999999999,61.228000000000016
1386,2017-05-29,0ae011769ad316b0bb0aec3297f89b81,09bcf688a9278cccb0804a112724cebd,1.1159999999999997,60.25200000000002,61.02399999999997
1520,2017-05-30,0ae011769ad316b0bb0aec3297f89b81,09bcf688a9278cccb0804a112724cebd,0.8320000000000001,52.164,52.268
1683,2017-05-31,0ae011769ad316b0bb0aec3297f89b81,09bcf688a9278cccb0804a112724cebd,0.8719999999999999,49.784000000000006,49.65600000000002
1846,2017-06-01,0ae011769ad316b0bb0aec3297f89b81,09bcf688a9278cccb0804a112724cebd,0.94,48.81199999999999,48.99999999999999
2218,2017-06-02,0ae011769ad316b0bb0aec3297f89b81,09bcf688a9278cccb0804a112724cebd,0.8360000000000001,48.492,48.32400000000001
2249,2017-06-03,0ae011769ad316b0bb0aec3297f89b81,09bcf688a9278cccb0804a112724cebd,0.8479999999999999,48.848000000000006,48.77600000000001
2562,2017-06-04,0ae011769ad316b0bb0aec3297f89b81,09bcf688a9278cccb0804a112724cebd,1.0759999999999998,48.248000000000005,48.1
2711,2017-06-05,0ae011769ad316b0bb0aec3297f89b81,09bcf688a9278cccb0804a112724cebd,1.164,56.92800000000002,56.78000000000001
2858,2017-06-06,0ae011769ad316b0bb0aec3297f89b81,09bcf688a9278cccb0804a112724cebd,1.1079999999999999,58.08800000000002,58.33600000000002
3086,2017-06-07,0ae011769ad316b0bb0aec3297f89b81,09bcf688a9278cccb0804a112724cebd,0.8640000000000001,50.476000000000006,50.3
3452,2017-06-08,0ae011769ad316b0bb0aec3297f89b81,09bcf688a9278cccb0804a112724cebd,1.056,50.74800000000001,50.80800000000001
3506,2017-06-09,0ae011769ad316b0bb0aec3297f89b81,09bcf688a9278cccb0804a112724cebd,0.8560000000000001,49.26800000000001,49.128
3815,2017-06-10,0ae011769ad316b0bb0aec3297f89b81,09bcf688a9278cccb0804a112724cebd,1.004,49.55199999999999,49.484
3910,2017-06-11,0ae011769ad316b0bb0aec3297f89b81,09bcf688a9278cccb0804a112724cebd,1.08,53.51200000000001,53.528
4153,2017-06-12,0ae011769ad316b0bb0aec3297f89b81,09bcf688a9278cccb0804a112724cebd,1.1919999999999995,57.428,57.579999999999984
4456,2017-06-13,0ae011769ad316b0bb0aec3297f89b81,09bcf688a9278cccb0804a112724cebd,1.1759999999999995,56.596,56.75199999999998
4529,2017-06-14,0ae011769ad316b0bb0aec3297f89b81,09bcf688a9278cccb0804a112724cebd,0.8279999999999998,49.964,50.10399999999999
4700,2017-06-15,0ae011769ad316b0bb0aec3297f89b81,09bcf688a9278cccb0804a112724cebd,0.8759999999999999,49.08000000000001,49.208
4977,2017-06-16,0ae011769ad316b0bb0aec3297f89b81,09bcf688a9278cccb0804a112724cebd,0.8640000000000001,48.40000000000001,48.43600000000002
5201,2017-06-17,0ae011769ad316b0bb0aec3297f89b81,09bcf688a9278cccb0804a112724cebd,0.9200000000000002,53.416000000000004,53.44400000000001
5330,2017-06-18,0ae011769ad316b0bb0aec3297f89b81,09bcf688a9278cccb0804a112724cebd,0.908,55.19600000000002,55.016000000000005
5633,2017-06-19,0ae011769ad316b0bb0aec3297f89b81,09bcf688a9278cccb0804a112724cebd,1.1880000000000002,66.78000000000002,66.18799999999997
5747,2017-06-20,0ae011769ad316b0bb0aec3297f89b81,09bcf688a9278cccb0804a112724cebd,1.2680000000000002,78.71200000000002,78.69199999999998
5987,2017-06-21,0ae011769ad316b0bb0aec3297f89b81,09bcf688a9278cccb0804a112724cebd,1.364,74.33199999999997,74.408
6222,2017-06-22,0ae011769ad316b0bb0aec3297f89b81,09bcf688a9278cccb0804a112724cebd,1.392,77.12799999999999,78.124
6450,2017-06-23,0ae011769ad316b0bb0aec3297f89b81,09bcf688a9278cccb0804a112724cebd,0.972,61.76000000000002,62.09600000000002
6651,2017-06-24,0ae011769ad316b0bb0aec3297f89b81,09bcf688a9278cccb0804a112724cebd,0.968,57.56000000000002,57.335999999999984
6920,2017-06-25,0ae011769ad316b0bb0aec3297f89b81,09bcf688a9278cccb0804a112724cebd,0.968,59.707999999999984,59.44800000000002
6996,2017-06-26,0ae011769ad316b0bb0aec3297f89b81,09bcf688a9278cccb0804a112724cebd,1.068,70.28800000000001,69.89199999999997
7272,2017-06-27,0ae011769ad316b0bb0aec3297f89b81,09bcf688a9278cccb0804a112724cebd,1.12,64.89599999999999,65.02799999999999
7402,2017-06-28,0ae011769ad316b0bb0aec3297f89b81,09bcf688a9278cccb0804a112724cebd,0.9440000000000002,57.74399999999999,57.99199999999998
7676,2017-06-29,0ae011769ad316b0bb0aec3297f89b81,09bcf688a9278cccb0804a112724cebd,0.972,59.976000000000006,60.00800000000001
7922,2017-06-30,0ae011769ad316b0bb0aec3297f89b81,09bcf688a9278cccb0804a112724cebd,0.8599999999999999,60.604000000000006,60.61600000000002
7994,2017-07-01,0ae011769ad316b0bb0aec3297f89b81,09bcf688a9278cccb0804a112724cebd,0.936,57.676,57.45600000000003
8227,2017-07-02,0ae011769ad316b0bb0aec3297f89b81,09bcf688a9278cccb0804a112724cebd,1.068,61.27599999999998,60.992
8408,2017-07-03,0ae011769ad316b0bb0aec3297f89b81,09bcf688a9278cccb0804a112724cebd,1.0959999999999996,67.40399999999998,67.62000000000002
8768,2017-07-04,0ae011769ad316b0bb0aec3297f89b81,09bcf688a9278cccb0804a112724cebd,1.0759999999999998,67.88800000000002,68.21600000000002
8922,2017-07-05,0ae011769ad316b0bb0aec3297f89b81,09bcf688a9278cccb0804a112724cebd,0.8840000000000001,57.79600000000003,57.716
9102,2017-07-06,0ae011769ad316b0bb0aec3297f89b81,09bcf688a9278cccb0804a112724cebd,0.8880000000000001,61.70399999999998,61.771999999999984
9270,2017-07-07,0ae011769ad316b0bb0aec3297f89b81,09bcf688a9278cccb0804a112724cebd,0.8320000000000001,57.43600000000002,57.63600000000001
9553,2017-07-08,0ae011769ad316b0bb0aec3297f89b81,09bcf688a9278cccb0804a112724cebd,0.8959999999999999,55.924,55.868
9749,2017-07-09,0ae011769ad316b0bb0aec3297f89b81,09bcf688a9278cccb0804a112724cebd,1.012,62.29200000000001,62.14400000000001
9993,2017-07-10,0ae011769ad316b0bb0aec3297f89b81,09bcf688a9278cccb0804a112724cebd,1.16,65.36800000000001,65.42399999999999
10178,2017-07-11,0ae011769ad316b0bb0aec3297f89b81,09bcf688a9278cccb0804a112724cebd,1.2159999999999995,65.66000000000003,65.84000000000002
10265,2017-07-12,0ae011769ad316b0bb0aec3297f89b81,09bcf688a9278cccb0804a112724cebd,0.996,58.53200000000001,58.71600000000001
10499,2017-07-13,0ae011769ad316b0bb0aec3297f89b81,09bcf688a9278cccb0804a112724cebd,0.8959999999999999,58.32799999999998,57.87200000000001
10738,2017-07-14,0ae011769ad316b0bb0aec3297f89b81,09bcf688a9278cccb0804a112724cebd,0.8240000000000001,56.920000000000016,56.943999999999996
10900,2017-07-15,0ae011769ad316b0bb0aec3297f89b81,09bcf688a9278cccb0804a112724cebd,0.8840000000000001,59.89999999999999,59.87599999999998
11076,2017-07-16,0ae011769ad316b0bb0aec3297f89b81,09bcf688a9278cccb0804a112724cebd,0.968,61.636,61.37999999999998
